句子数量,6200,方法,mc,support,5,阈值,0.8
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
限时,限/时,10,13,11,0.909090909091
原单,原/单,260,308,401,0.844155844156
台湾馆,台湾/馆,5,8,6,0.833333333333
佐丹奴,佐丹/奴,5,5,5,1.0
天使之城,天使/之城,7,11,7,1.0
汐悠姿,汐/悠姿,8,8,12,1.0
李孝利,李孝/利,5,5,10,1.0
1111购物狂欢节,1111/购物狂欢节,6,6,6,1.0
人手一件,人手一/件,5,5,239,1.0
Ochirly欧时力,Ochirly欧/时力,5,5,14,1.0
BUNIQLO优衣库,BUNIQLO/优衣库,7,7,62,1.0
欧时力,欧/时力,9,25,9,1.0
眉儿大码,眉儿/大码,5,6,536,0.833333333333
加大码,加大/码,64,75,110,0.853333333333
AUNIQLO优衣库,AUNIQLO/优衣库,7,7,62,1.0
太后外贸大码,太后外贸/大码,11,11,536,1.0
原单稀缺精品哥伦比亚OMNI,原/单稀缺精品哥伦比亚OMNI,6,34,6,1.0
宏美天艺专业定做T,宏美天艺专业定做/T,5,5,3509,1.0
小蚊子2014春款,小蚊子2014春/款,5,5,562,1.0
086830优衣库UNIQLO,086830优衣库/UNIQLO,5,5,26,1.0
情侣夏装汤姆莉莉情侣装,情侣夏装汤/姆莉莉情侣装,6,6,6,1.0
微瑕特价多款,微瑕特价多/款,9,9,562,1.0
Lucy轻薄打底大低,Lucy轻薄打底大/低,5,5,13,1.0
W.Doubleudot达点2011正品,W.Doubleudot达点2011/正品,5,5,328,1.0
天猫年中大促商品,天/猫年中大促商品,9,50,9,1.0
2011厂家直供批发新版女士短袖纯棉T,2011厂家直供批发新版女士短袖纯棉/T,9,9,3498,1.0
EUNIQLO优衣库初上市价格99元女装高级棉圆领T,EUNIQLO优衣库初上市价格99元女装高级棉圆领/T,5,5,3489,1.0
2011秋冬季欧美新品款半袖莫代尔V领修身T,2011秋冬季欧美新品款半袖莫代尔V领修身/T,5,5,3484,1.0
甩货特价Talbots原单丝绸蝴蝶结领短袖T,甩/货特价Talbots原单丝绸蝴蝶结领短袖T,5,9,5,1.0
格子亲子速干沙滩裤1310款海边必备亲子套装夏天足迹纯棉短袖T,格子/亲子速干沙滩裤1310款海边必备亲子套装夏天足迹纯棉短袖T,5,12,5,1.0
111101037021ONLY有机棉圆领百家布卡通人物印花短袖T,111101037021ONLY有机棉圆领百家布卡通人物印花短袖/T,7,7,3474,1.0
短袖全棉女装200斤加肥胖mm夏宽松女打底衫,短袖/全棉女装200斤加肥胖mm夏宽松女打底衫,6,2008,6,1.0
